,tweet,% Negative,% Neutral,% Positive,overall rating
0,"who is liable when an accident caused by an autonomous car occurs? we focus on this main question in the last paper, ""civil liability and autonomous vehicles""",16.400000000000002,83.6,0.0,Negative
1,"""autonomous vehicles are orders of magnitude safer in preventing many types of accidents that have to do with human driver error """,22.7,66.9,10.4,Negative
2,solution?: do not allow autonomous vehicles to be put on insurance branded plans of which insurance plans can't cover the financial cost of all accidents for their insured vehicles. exclusive to autonomous vehicles branded insurers must exist.,9.700000000000001,80.9,9.3,Neutral
3,an added benefit to testing autonomous vehicles out in virtual worlds first is minimising the chance of very real accidents.,10.5,69.19999999999999,20.3,Positive
4,fully autonomous vehicles are nearly impossible to make totally safe due to the human factor. but if all autonomous cars on the road were interconnected with each other the number a car accidents could drop to nearly zero. you need to remove human error &amp; human unpredictability.,16.7,76.8,6.5,Negative
5,"the societal benefit to achieving truly autonomous vehicles will be huge and its ramifications are underappreciated by most. real world driving data (dealing with crazy humans) is needed to perfect it and if the cost is similar accident rates as human drivers, it's worth it.",9.6,66.3,24.099999999999998,Positive
6,"exploring split usage-based insurance for autonomous vehicles $tsla could solve this problem easily by sponsoring a mutual p&amp;c insurer dedicated to insuring autonomous vehicles. if accidents will truly be few, premiums should be cheap.",12.5,64.3,23.200000000000003,Positive
7,"and? people that drive themselves cause more accidents worldwide. autonomous vehicles, no matter how advanced they get, will never be % perfect…just like humans.",13.0,71.0,16.0,Positive
8,autonomous vehicles in the us have had nearly accidents -,20.4,79.60000000000001,0.0,Negative
9,"let's start with inslee's quote. even if % of vehicle accidents were chalked up to human error, that doesn't mean autonomous vehicles (avs) are safer any more than ""nearly all light pollution is caused by incandescent or arc bulbs"" would be fixed by deploying leds.",10.0,84.3,5.6000000000000005,Negative
10,the data say exactly that. it also says that teslas have substantially more accidents and more fatal accidents per mile (it’s american so miles) that rival autonomous vehicles,27.0,73.0,0.0,Negative
11,well tesla accounts for % of autonomous vehicles on the road in the u.s and they account for % of the accidents. that's alot better than the competition obviously,6.9,78.10000000000001,15.0,Positive
12,the vital bit of missing information is miles traveled/accident. are tesla's just more common than other autonomous vehicles? are they any safer than conventional cars?,7.3999999999999995,74.4,18.099999999999998,Positive
13,"autonomous vehicles are growing in popularity. their number one appeal is the ability to navigate the road safely. with time these autonomous vehicles may have the power to predict an accident before it occurs. smart, can help us to make our roads much safer.",5.4,60.4,34.2,Positive
14,"let me give you a few simple examples. if blockchain is applied to all autonomous vehicles, an accident-free environment can be created. if you use your voting rights by proving that you are 'i', you can prevent fraudulent voting.",7.6,85.1,7.3,Negative
15,"(/) ai/battery tech convergence should disrupt transportation by creating new possibilities (i.e., flying vehicles, autonomous vehicles, etc.). autonomous vehicles could save lives by reducing the total number of fatal accidents.",15.9,65.7,18.4,Neutral
16,aaa tests what happens when drivers don't take control over semi-autonomous vehicles during potential accident,18.099999999999998,81.89999999999999,0.0,Negative
17,all insurance is inflated. statistically car accidents are inevitable and to insure against the inevitable and still turn a profit makes insurance cost so much. so now its on you bb. make autonomous vehicles affordable for the masses and then its not an issue,4.9,89.0,6.1,Positive
18,"it's not apple or tesla, but inrix has data from million vehicles taking transportation into the future: inrix is a transportation software company working on a world of autonomous vehicles and zero accidents, zero fatalities and carbon neutrality.",18.7,81.3,0.0,Negative
19,we are not talking about autonomous vehicles here : we are talking about backup to inattentive drivers. if they are inattentive they are already accident prone.,11.0,89.0,0.0,Negative
20,vs levels of software &amp; hardware stack behind indian roads ready for ? reduce road accidents? autonomous vehicles displace drivers?,9.9,77.10000000000001,13.0,Positive
21,"by all accounts, evs are more reliable and require less maintenance and repair parts. in addition, autonomous vehicles get into fewer accidents so there are fewer repairs. the automobile companies need to do something to raise revenue once self-driving evs become the norm.",5.2,94.8,0.0,Negative
22,can’t wait for the day when we have % autonomous vehicles. i’ve lost too many friends to auto accidents already 😭,25.8,63.800000000000004,10.4,Negative
23,i % am serious and not making a joke. cars are death traps. i’ve worked a good amount of gun shot victims. but they are nothing compared to car accident victims that come into a trauma room. fully autonomous vehicles are the answer. i want my guns to have ai for target check,29.299999999999997,65.60000000000001,5.2,Negative
